id,dobyr
1920,Defendant's year of birth
1921,Defendant's year of birth
1922,Defendant's year of birth
1923,Defendant's year of birth
1924,Defendant's year of birth
1925,Defendant's year of birth
1926,Defendant's year of birth
1927,Defendant's year of birth
1928,Defendant's year of birth
1929,Defendant's year of birth
1930,Defendant's year of birth
1931,Defendant's year of birth
1932,Defendant's year of birth
1933,Defendant's year of birth
1934,Defendant's year of birth
1935,Defendant's year of birth
1936,Defendant's year of birth
1937,Defendant's year of birth
1938,Defendant's year of birth
1939,Defendant's year of birth
1940,Defendant's year of birth
1941,Defendant's year of birth
1942,Defendant's year of birth
1943,Defendant's year of birth
1944,Defendant's year of birth
1945,Defendant's year of birth
1946,Defendant's year of birth
1947,Defendant's year of birth
1948,Defendant's year of birth
1949,Defendant's year of birth
1950,Defendant's year of birth
1951,Defendant's year of birth
1952,Defendant's year of birth
1953,Defendant's year of birth
1954,Defendant's year of birth
1955,Defendant's year of birth
1956,Defendant's year of birth
1957,Defendant's year of birth
1958,Defendant's year of birth
1959,Defendant's year of birth
1960,Defendant's year of birth
1961,Defendant's year of birth
1962,Defendant's year of birth
1963,Defendant's year of birth
1964,Defendant's year of birth
1965,Defendant's year of birth
1966,Defendant's year of birth
1967,Defendant's year of birth
1968,Defendant's year of birth
1969,Defendant's year of birth
1970,Defendant's year of birth
1971,Defendant's year of birth
1972,Defendant's year of birth
1973,Defendant's year of birth
1974,Defendant's year of birth
1975,Defendant's year of birth
1976,Defendant's year of birth
1977,Defendant's year of birth
1978,Defendant's year of birth
1979,Defendant's year of birth
1980,Defendant's year of birth
1981,Defendant's year of birth
1982,Defendant's year of birth
1983,Defendant's year of birth
1984,Defendant's year of birth
1985,Defendant's year of birth
1986,Defendant's year of birth
1987,Defendant's year of birth
1988,Defendant's year of birth
1989,Defendant's year of birth
1990,Defendant's year of birth
1991,Defendant's year of birth
1992,Defendant's year of birth
1993,Defendant's year of birth
1994,Defendant's year of birth
1995,Defendant's year of birth
1996,Defendant's year of birth
1997,Defendant's year of birth
1998,Defendant's year of birth
1999,Defendant's year of birth
2000,Defendant's year of birth
2001,Defendant's year of birth
2002,Defendant's year of birth
2003,Defendant's year of birth
2004,Defendant's year of birth
2005,Defendant's year of birth
2006,Defendant's year of birth
2007,Defendant's year of birth
2008,Defendant's year of birth
2009,Defendant's year of birth
2010,Defendant's year of birth
2011,Defendant's year of birth
2012,Defendant's year of birth
2013,Defendant's year of birth
2014,Defendant's year of birth
2015,Defendant's year of birth
2016,Defendant's year of birth
