id,senttot0
0,Probation 
.,"Missing, Indeterminable, or Inapplicable"
470,Life
1,prison sentence in months
2,prison sentence in months
3,prison sentence in months
4,prison sentence in months
5,prison sentence in months
6,prison sentence in months
7,prison sentence in months
8,prison sentence in months
9,prison sentence in months
10,prison sentence in months
11,prison sentence in months
12,prison sentence in months
13,prison sentence in months
14,prison sentence in months
15,prison sentence in months
16,prison sentence in months
17,prison sentence in months
18,prison sentence in months
19,prison sentence in months
20,prison sentence in months
21,prison sentence in months
22,prison sentence in months
23,prison sentence in months
24,prison sentence in months
25,prison sentence in months
26,prison sentence in months
27,prison sentence in months
28,prison sentence in months
29,prison sentence in months
30,prison sentence in months
31,prison sentence in months
32,prison sentence in months
33,prison sentence in months
34,prison sentence in months
35,prison sentence in months
36,prison sentence in months
37,prison sentence in months
38,prison sentence in months
39,prison sentence in months
40,prison sentence in months
41,prison sentence in months
42,prison sentence in months
43,prison sentence in months
44,prison sentence in months
45,prison sentence in months
46,prison sentence in months
47,prison sentence in months
48,prison sentence in months
49,prison sentence in months
50,prison sentence in months
51,prison sentence in months
52,prison sentence in months
53,prison sentence in months
54,prison sentence in months
55,prison sentence in months
56,prison sentence in months
57,prison sentence in months
58,prison sentence in months
59,prison sentence in months
60,prison sentence in months
61,prison sentence in months
62,prison sentence in months
63,prison sentence in months
64,prison sentence in months
65,prison sentence in months
66,prison sentence in months
67,prison sentence in months
68,prison sentence in months
69,prison sentence in months
70,prison sentence in months
71,prison sentence in months
72,prison sentence in months
73,prison sentence in months
74,prison sentence in months
75,prison sentence in months
76,prison sentence in months
77,prison sentence in months
78,prison sentence in months
79,prison sentence in months
80,prison sentence in months
81,prison sentence in months
82,prison sentence in months
83,prison sentence in months
84,prison sentence in months
85,prison sentence in months
86,prison sentence in months
87,prison sentence in months
88,prison sentence in months
89,prison sentence in months
90,prison sentence in months
91,prison sentence in months
92,prison sentence in months
93,prison sentence in months
94,prison sentence in months
95,prison sentence in months
96,prison sentence in months
97,prison sentence in months
98,prison sentence in months
99,prison sentence in months
100,prison sentence in months
101,prison sentence in months
102,prison sentence in months
103,prison sentence in months
104,prison sentence in months
105,prison sentence in months
106,prison sentence in months
107,prison sentence in months
108,prison sentence in months
109,prison sentence in months
110,prison sentence in months
111,prison sentence in months
112,prison sentence in months
113,prison sentence in months
114,prison sentence in months
115,prison sentence in months
116,prison sentence in months
117,prison sentence in months
118,prison sentence in months
119,prison sentence in months
120,prison sentence in months
121,prison sentence in months
122,prison sentence in months
123,prison sentence in months
124,prison sentence in months
125,prison sentence in months
126,prison sentence in months
127,prison sentence in months
128,prison sentence in months
129,prison sentence in months
130,prison sentence in months
131,prison sentence in months
132,prison sentence in months
133,prison sentence in months
134,prison sentence in months
135,prison sentence in months
136,prison sentence in months
137,prison sentence in months
138,prison sentence in months
139,prison sentence in months
140,prison sentence in months
141,prison sentence in months
142,prison sentence in months
143,prison sentence in months
144,prison sentence in months
145,prison sentence in months
146,prison sentence in months
147,prison sentence in months
148,prison sentence in months
149,prison sentence in months
150,prison sentence in months
151,prison sentence in months
152,prison sentence in months
153,prison sentence in months
154,prison sentence in months
155,prison sentence in months
156,prison sentence in months
157,prison sentence in months
158,prison sentence in months
159,prison sentence in months
160,prison sentence in months
161,prison sentence in months
162,prison sentence in months
163,prison sentence in months
164,prison sentence in months
165,prison sentence in months
166,prison sentence in months
167,prison sentence in months
168,prison sentence in months
169,prison sentence in months
170,prison sentence in months
171,prison sentence in months
172,prison sentence in months
173,prison sentence in months
174,prison sentence in months
175,prison sentence in months
176,prison sentence in months
177,prison sentence in months
178,prison sentence in months
179,prison sentence in months
180,prison sentence in months
181,prison sentence in months
182,prison sentence in months
183,prison sentence in months
184,prison sentence in months
185,prison sentence in months
186,prison sentence in months
187,prison sentence in months
188,prison sentence in months
189,prison sentence in months
190,prison sentence in months
191,prison sentence in months
192,prison sentence in months
193,prison sentence in months
194,prison sentence in months
195,prison sentence in months
196,prison sentence in months
197,prison sentence in months
198,prison sentence in months
199,prison sentence in months
200,prison sentence in months
201,prison sentence in months
202,prison sentence in months
203,prison sentence in months
204,prison sentence in months
205,prison sentence in months
206,prison sentence in months
207,prison sentence in months
208,prison sentence in months
209,prison sentence in months
210,prison sentence in months
211,prison sentence in months
212,prison sentence in months
213,prison sentence in months
214,prison sentence in months
215,prison sentence in months
216,prison sentence in months
217,prison sentence in months
218,prison sentence in months
219,prison sentence in months
220,prison sentence in months
221,prison sentence in months
222,prison sentence in months
223,prison sentence in months
224,prison sentence in months
225,prison sentence in months
226,prison sentence in months
227,prison sentence in months
228,prison sentence in months
229,prison sentence in months
230,prison sentence in months
231,prison sentence in months
232,prison sentence in months
233,prison sentence in months
234,prison sentence in months
235,prison sentence in months
236,prison sentence in months
237,prison sentence in months
238,prison sentence in months
239,prison sentence in months
240,prison sentence in months
241,prison sentence in months
242,prison sentence in months
243,prison sentence in months
244,prison sentence in months
245,prison sentence in months
246,prison sentence in months
247,prison sentence in months
248,prison sentence in months
249,prison sentence in months
250,prison sentence in months
251,prison sentence in months
252,prison sentence in months
253,prison sentence in months
254,prison sentence in months
255,prison sentence in months
256,prison sentence in months
257,prison sentence in months
258,prison sentence in months
259,prison sentence in months
260,prison sentence in months
261,prison sentence in months
262,prison sentence in months
263,prison sentence in months
264,prison sentence in months
265,prison sentence in months
266,prison sentence in months
267,prison sentence in months
268,prison sentence in months
269,prison sentence in months
270,prison sentence in months
271,prison sentence in months
272,prison sentence in months
273,prison sentence in months
274,prison sentence in months
275,prison sentence in months
276,prison sentence in months
277,prison sentence in months
278,prison sentence in months
279,prison sentence in months
280,prison sentence in months
281,prison sentence in months
282,prison sentence in months
283,prison sentence in months
284,prison sentence in months
285,prison sentence in months
286,prison sentence in months
287,prison sentence in months
288,prison sentence in months
289,prison sentence in months
290,prison sentence in months
291,prison sentence in months
292,prison sentence in months
293,prison sentence in months
294,prison sentence in months
295,prison sentence in months
296,prison sentence in months
297,prison sentence in months
298,prison sentence in months
299,prison sentence in months
300,prison sentence in months
301,prison sentence in months
302,prison sentence in months
303,prison sentence in months
304,prison sentence in months
305,prison sentence in months
306,prison sentence in months
307,prison sentence in months
308,prison sentence in months
309,prison sentence in months
310,prison sentence in months
311,prison sentence in months
312,prison sentence in months
313,prison sentence in months
314,prison sentence in months
315,prison sentence in months
316,prison sentence in months
317,prison sentence in months
318,prison sentence in months
319,prison sentence in months
320,prison sentence in months
321,prison sentence in months
322,prison sentence in months
323,prison sentence in months
324,prison sentence in months
325,prison sentence in months
326,prison sentence in months
327,prison sentence in months
328,prison sentence in months
329,prison sentence in months
330,prison sentence in months
331,prison sentence in months
332,prison sentence in months
333,prison sentence in months
334,prison sentence in months
335,prison sentence in months
336,prison sentence in months
337,prison sentence in months
338,prison sentence in months
339,prison sentence in months
340,prison sentence in months
341,prison sentence in months
342,prison sentence in months
343,prison sentence in months
344,prison sentence in months
345,prison sentence in months
346,prison sentence in months
347,prison sentence in months
348,prison sentence in months
349,prison sentence in months
350,prison sentence in months
351,prison sentence in months
352,prison sentence in months
353,prison sentence in months
354,prison sentence in months
355,prison sentence in months
356,prison sentence in months
357,prison sentence in months
358,prison sentence in months
359,prison sentence in months
360,prison sentence in months
361,prison sentence in months
362,prison sentence in months
363,prison sentence in months
364,prison sentence in months
365,prison sentence in months
366,prison sentence in months
367,prison sentence in months
368,prison sentence in months
369,prison sentence in months
370,prison sentence in months
371,prison sentence in months
372,prison sentence in months
373,prison sentence in months
374,prison sentence in months
375,prison sentence in months
376,prison sentence in months
377,prison sentence in months
378,prison sentence in months
379,prison sentence in months
380,prison sentence in months
381,prison sentence in months
382,prison sentence in months
383,prison sentence in months
384,prison sentence in months
385,prison sentence in months
386,prison sentence in months
387,prison sentence in months
388,prison sentence in months
389,prison sentence in months
390,prison sentence in months
391,prison sentence in months
392,prison sentence in months
393,prison sentence in months
394,prison sentence in months
395,prison sentence in months
396,prison sentence in months
397,prison sentence in months
398,prison sentence in months
399,prison sentence in months
400,prison sentence in months
401,prison sentence in months
402,prison sentence in months
403,prison sentence in months
404,prison sentence in months
405,prison sentence in months
406,prison sentence in months
407,prison sentence in months
408,prison sentence in months
409,prison sentence in months
410,prison sentence in months
411,prison sentence in months
412,prison sentence in months
413,prison sentence in months
414,prison sentence in months
415,prison sentence in months
416,prison sentence in months
417,prison sentence in months
418,prison sentence in months
419,prison sentence in months
420,prison sentence in months
421,prison sentence in months
422,prison sentence in months
423,prison sentence in months
424,prison sentence in months
425,prison sentence in months
426,prison sentence in months
427,prison sentence in months
428,prison sentence in months
429,prison sentence in months
430,prison sentence in months
431,prison sentence in months
432,prison sentence in months
433,prison sentence in months
434,prison sentence in months
435,prison sentence in months
436,prison sentence in months
437,prison sentence in months
438,prison sentence in months
439,prison sentence in months
440,prison sentence in months
441,prison sentence in months
442,prison sentence in months
443,prison sentence in months
444,prison sentence in months
445,prison sentence in months
446,prison sentence in months
447,prison sentence in months
448,prison sentence in months
449,prison sentence in months
450,prison sentence in months
451,prison sentence in months
452,prison sentence in months
453,prison sentence in months
454,prison sentence in months
455,prison sentence in months
456,prison sentence in months
457,prison sentence in months
458,prison sentence in months
459,prison sentence in months
460,prison sentence in months
461,prison sentence in months
462,prison sentence in months
463,prison sentence in months
464,prison sentence in months
465,prison sentence in months
466,prison sentence in months
467,prison sentence in months
468,prison sentence in months
469,prison sentence in months
471,prison sentence in months
472,prison sentence in months
473,prison sentence in months
474,prison sentence in months
475,prison sentence in months
476,prison sentence in months
477,prison sentence in months
478,prison sentence in months
479,prison sentence in months
480,prison sentence in months
481,prison sentence in months
482,prison sentence in months
483,prison sentence in months
484,prison sentence in months
485,prison sentence in months
486,prison sentence in months
487,prison sentence in months
488,prison sentence in months
489,prison sentence in months
490,prison sentence in months
491,prison sentence in months
492,prison sentence in months
493,prison sentence in months
494,prison sentence in months
495,prison sentence in months
496,prison sentence in months
497,prison sentence in months
498,prison sentence in months
499,prison sentence in months
500,prison sentence in months
501,prison sentence in months
502,prison sentence in months
503,prison sentence in months
504,prison sentence in months
505,prison sentence in months
506,prison sentence in months
507,prison sentence in months
508,prison sentence in months
509,prison sentence in months
510,prison sentence in months
511,prison sentence in months
512,prison sentence in months
513,prison sentence in months
514,prison sentence in months
515,prison sentence in months
516,prison sentence in months
517,prison sentence in months
518,prison sentence in months
519,prison sentence in months
520,prison sentence in months
521,prison sentence in months
522,prison sentence in months
523,prison sentence in months
524,prison sentence in months
525,prison sentence in months
526,prison sentence in months
527,prison sentence in months
528,prison sentence in months
529,prison sentence in months
530,prison sentence in months
531,prison sentence in months
532,prison sentence in months
533,prison sentence in months
534,prison sentence in months
535,prison sentence in months
536,prison sentence in months
537,prison sentence in months
538,prison sentence in months
539,prison sentence in months
540,prison sentence in months
541,prison sentence in months
542,prison sentence in months
543,prison sentence in months
544,prison sentence in months
545,prison sentence in months
546,prison sentence in months
547,prison sentence in months
548,prison sentence in months
549,prison sentence in months
550,prison sentence in months
551,prison sentence in months
552,prison sentence in months
553,prison sentence in months
554,prison sentence in months
555,prison sentence in months
556,prison sentence in months
557,prison sentence in months
558,prison sentence in months
559,prison sentence in months
560,prison sentence in months
561,prison sentence in months
562,prison sentence in months
563,prison sentence in months
564,prison sentence in months
565,prison sentence in months
566,prison sentence in months
567,prison sentence in months
568,prison sentence in months
569,prison sentence in months
570,prison sentence in months
571,prison sentence in months
572,prison sentence in months
573,prison sentence in months
574,prison sentence in months
575,prison sentence in months
576,prison sentence in months
577,prison sentence in months
578,prison sentence in months
579,prison sentence in months
580,prison sentence in months
581,prison sentence in months
582,prison sentence in months
583,prison sentence in months
584,prison sentence in months
585,prison sentence in months
586,prison sentence in months
587,prison sentence in months
588,prison sentence in months
589,prison sentence in months
590,prison sentence in months
591,prison sentence in months
592,prison sentence in months
593,prison sentence in months
594,prison sentence in months
595,prison sentence in months
596,prison sentence in months
597,prison sentence in months
598,prison sentence in months
599,prison sentence in months
600,prison sentence in months
601,prison sentence in months
602,prison sentence in months
603,prison sentence in months
604,prison sentence in months
605,prison sentence in months
606,prison sentence in months
607,prison sentence in months
608,prison sentence in months
609,prison sentence in months
610,prison sentence in months
611,prison sentence in months
612,prison sentence in months
613,prison sentence in months
614,prison sentence in months
615,prison sentence in months
616,prison sentence in months
617,prison sentence in months
618,prison sentence in months
619,prison sentence in months
620,prison sentence in months
621,prison sentence in months
622,prison sentence in months
623,prison sentence in months
624,prison sentence in months
625,prison sentence in months
626,prison sentence in months
627,prison sentence in months
628,prison sentence in months
629,prison sentence in months
630,prison sentence in months
631,prison sentence in months
632,prison sentence in months
633,prison sentence in months
634,prison sentence in months
635,prison sentence in months
636,prison sentence in months
637,prison sentence in months
638,prison sentence in months
639,prison sentence in months
640,prison sentence in months
641,prison sentence in months
642,prison sentence in months
643,prison sentence in months
644,prison sentence in months
645,prison sentence in months
646,prison sentence in months
647,prison sentence in months
648,prison sentence in months
649,prison sentence in months
650,prison sentence in months
651,prison sentence in months
652,prison sentence in months
653,prison sentence in months
654,prison sentence in months
655,prison sentence in months
656,prison sentence in months
657,prison sentence in months
658,prison sentence in months
659,prison sentence in months
660,prison sentence in months
661,prison sentence in months
662,prison sentence in months
663,prison sentence in months
664,prison sentence in months
665,prison sentence in months
666,prison sentence in months
667,prison sentence in months
668,prison sentence in months
669,prison sentence in months
670,prison sentence in months
671,prison sentence in months
672,prison sentence in months
673,prison sentence in months
674,prison sentence in months
675,prison sentence in months
676,prison sentence in months
677,prison sentence in months
678,prison sentence in months
679,prison sentence in months
680,prison sentence in months
681,prison sentence in months
682,prison sentence in months
683,prison sentence in months
684,prison sentence in months
685,prison sentence in months
686,prison sentence in months
687,prison sentence in months
688,prison sentence in months
689,prison sentence in months
690,prison sentence in months
691,prison sentence in months
692,prison sentence in months
693,prison sentence in months
694,prison sentence in months
695,prison sentence in months
696,prison sentence in months
697,prison sentence in months
698,prison sentence in months
699,prison sentence in months
700,prison sentence in months
701,prison sentence in months
702,prison sentence in months
703,prison sentence in months
704,prison sentence in months
705,prison sentence in months
706,prison sentence in months
707,prison sentence in months
708,prison sentence in months
709,prison sentence in months
710,prison sentence in months
711,prison sentence in months
712,prison sentence in months
713,prison sentence in months
714,prison sentence in months
715,prison sentence in months
716,prison sentence in months
717,prison sentence in months
718,prison sentence in months
719,prison sentence in months
720,prison sentence in months
721,prison sentence in months
