id,sentyr
1920,Applicable Fiscal Year 
1921,Applicable Fiscal Year 
1922,Applicable Fiscal Year 
1923,Applicable Fiscal Year 
1924,Applicable Fiscal Year 
1925,Applicable Fiscal Year 
1926,Applicable Fiscal Year 
1927,Applicable Fiscal Year 
1928,Applicable Fiscal Year 
1929,Applicable Fiscal Year 
1930,Applicable Fiscal Year 
1931,Applicable Fiscal Year 
1932,Applicable Fiscal Year 
1933,Applicable Fiscal Year 
1934,Applicable Fiscal Year 
1935,Applicable Fiscal Year 
1936,Applicable Fiscal Year 
1937,Applicable Fiscal Year 
1938,Applicable Fiscal Year 
1939,Applicable Fiscal Year 
1940,Applicable Fiscal Year 
1941,Applicable Fiscal Year 
1942,Applicable Fiscal Year 
1943,Applicable Fiscal Year 
1944,Applicable Fiscal Year 
1945,Applicable Fiscal Year 
1946,Applicable Fiscal Year 
1947,Applicable Fiscal Year 
1948,Applicable Fiscal Year 
1949,Applicable Fiscal Year 
1950,Applicable Fiscal Year 
1951,Applicable Fiscal Year 
1952,Applicable Fiscal Year 
1953,Applicable Fiscal Year 
1954,Applicable Fiscal Year 
1955,Applicable Fiscal Year 
1956,Applicable Fiscal Year 
1957,Applicable Fiscal Year 
1958,Applicable Fiscal Year 
1959,Applicable Fiscal Year 
1960,Applicable Fiscal Year 
1961,Applicable Fiscal Year 
1962,Applicable Fiscal Year 
1963,Applicable Fiscal Year 
1964,Applicable Fiscal Year 
1965,Applicable Fiscal Year 
1966,Applicable Fiscal Year 
1967,Applicable Fiscal Year 
1968,Applicable Fiscal Year 
1969,Applicable Fiscal Year 
1970,Applicable Fiscal Year 
1971,Applicable Fiscal Year 
1972,Applicable Fiscal Year 
1973,Applicable Fiscal Year 
1974,Applicable Fiscal Year 
1975,Applicable Fiscal Year 
1976,Applicable Fiscal Year 
1977,Applicable Fiscal Year 
1978,Applicable Fiscal Year 
1979,Applicable Fiscal Year 
1980,Applicable Fiscal Year 
1981,Applicable Fiscal Year 
1982,Applicable Fiscal Year 
1983,Applicable Fiscal Year 
1984,Applicable Fiscal Year 
1985,Applicable Fiscal Year 
1986,Applicable Fiscal Year 
1987,Applicable Fiscal Year 
1988,Applicable Fiscal Year 
1989,Applicable Fiscal Year 
1990,Applicable Fiscal Year 
1991,Applicable Fiscal Year 
1992,Applicable Fiscal Year 
1993,Applicable Fiscal Year 
1994,Applicable Fiscal Year 
1995,Applicable Fiscal Year 
1996,Applicable Fiscal Year 
1997,Applicable Fiscal Year 
1998,Applicable Fiscal Year 
1999,Applicable Fiscal Year 
2000,Applicable Fiscal Year 
2001,Applicable Fiscal Year 
2002,Applicable Fiscal Year 
2003,Applicable Fiscal Year 
2004,Applicable Fiscal Year 
2005,Applicable Fiscal Year 
2006,Applicable Fiscal Year 
2007,Applicable Fiscal Year 
2008,Applicable Fiscal Year 
2009,Applicable Fiscal Year 
2010,Applicable Fiscal Year 
2011,Applicable Fiscal Year 
2012,Applicable Fiscal Year 
2013,Applicable Fiscal Year 
2014,Applicable Fiscal Year 
2015,Applicable Fiscal Year 
2016,Applicable Fiscal Year 
