SENTTOT,SENTTOT0,CITIZEN,CITWHERE,CRIMHIST,DISTRICT,DOBMON,EDUCATN,ENCRYPT2,HISPORIG,INOUT,NEWRACE,OFFTYPSB,SENTIMP,SENTMON,DOBYR,SENTYR
37,37,1,211,1,51,11,21,0,1,,2,13,1,10,1980,2016
48,48,1,211,1,83,7,12,0,1,,1,11,1,10,1987,2016
18,18,3,49,1,70,6,9,0,2,,3,27,1,10,1992,2016
33,33,1,211,1,68,11,10,0,1,,6,5,1,10,1971,2016
41,41,3,49,1,84,4,21,0,2,,3,27,1,10,1978,2016
72,72,3,49,1,73,4,,0,2,,3,10,1,10,1974,2016
94,94,1,211,1,68,8,34,0,1,,1,10,1,10,1977,2016
1.33,1.33,3,37,1,69,1,,0,2,0,3,27,1,10,1963,2016
7.56,7.56,3,49,1,70,11,3,0,2,0,3,27,1,10,1957,2016
100,100,1,211,1,46,12,21,0,1,,2,10,1,10,1989,2016
,0,1,211,1,69,1,21,0,1,,1,24,4,10,1963,2016
16,16,3,49,1,70,5,8,0,2,,3,27,1,10,1981,2016
4.07,4.07,3,49,0,84,10,4,0,2,,3,10,1,10,1991,2016
168,168,3,49,1,83,4,10,0,2,,3,10,1,10,1978,2016
21,21,3,49,0,70,11,34,0,2,,3,10,1,10,1966,2016
,0,2,30,1,3,3,34,0,2,,3,10,2,10,1983,2016
16,16,3,40,1,70,6,21,0,2,,3,27,1,10,1965,2016
,0,1,211,1,2,10,34,0,1,,1,13,2,10,1965,2016
6,6,1,211,1,73,2,11,0,2,,3,18,1,10,1987,2016
6,6,3,49,1,70,6,37,0,2,,3,27,1,10,1988,2016
,0,1,211,1,47,1,12,0,1,1,2,18,4,10,1987,2016
3.69,3.69,3,49,1,70,10,4,0,2,0,3,27,1,10,1979,2016
,0,1,211,1,3,11,34,0,1,,1,13,4,10,1989,2016
60,60,1,211,1,19,8,34,0,1,,1,10,1,10,1987,2016
,0,1,211,,70,8,,0,1,0,6,35,1,10,1982,2016
108,108,1,211,1,19,10,34,0,1,,1,10,1,10,1971,2016
9.76,9.76,3,49,1,84,6,21,0,2,,3,27,1,10,1971,2016
27,27,1,211,1,70,4,12,0,2,,3,32,1,10,1980,2016
37,37,1,211,1,19,6,12,0,1,,1,10,1,10,1991,2016
180,180,3,32,1,51,2,9,0,2,,3,10,1,10,1976,2016
20,20,1,211,0,70,2,34,0,2,,3,10,1,10,1997,2016
12,12,1,211,1,69,3,34,0,1,,6,4,2,10,1995,2016
10,10,3,49,1,30,3,37,0,2,,3,27,1,10,1977,2016
15,15,1,211,1,69,12,34,0,1,,6,30,1,10,1982,2016
84,84,1,211,1,51,6,32,0,1,,2,10,1,10,1986,2016
60,60,1,211,1,19,10,12,0,1,,1,10,1,10,1979,2016
96,96,1,211,1,15,1,34,0,1,,2,10,1,10,1987,2016
42,42,3,49,1,46,9,3,0,2,,3,27,1,10,1977,2016
,0,1,211,1,70,11,10,0,1,,6,5,4,10,1983,2016
24,24,1,211,1,89,5,10,0,1,,1,13,1,10,1988,2016
6.02,6.02,3,37,1,31,9,5,0,2,0,3,27,1,10,1988,2016
0.85,0.85,3,40,1,84,8,6,0,2,0,3,27,1,10,1992,2016
8,8,3,49,1,41,4,7,0,2,0,3,27,1,10,1983,2016
96,96,1,211,1,69,9,34,0,1,,2,10,1,10,1987,2016
70,70,1,211,1,84,12,12,0,1,,1,13,1,10,1966,2016
